,department_name,eng
45,藝術與設計學系創作組,"Creation Group, Department of Art and Design"
46,藝術與設計學系設計組,"Design Group, Department of Art and Design"
47,藝術與設計學系設計組(公費生),"Design Group, Department of Art and Design (publicly paid student)"
48,音樂學系,The department of music
49,人文社會學院學士班,The undergraduate program at the institute of humanities and social
54,教育心理與諮商學系,Department of education psychology and counselors
55,計量財務金融學系,Department of Ecometric Finance and Finance
56,科技管理學院學士班,The undergraduate program at the school of management science and technology
88,歷史學系,"Department of history,"
99,社會學系,The department of social
100,地理環境資源學系,Department of Geography and Environmental Resources
102,會計學系,Department of Accounting
103,財務金融學系,Department of Finance and Finance
104,工商管理學系企業管理組,"Department of business administration, business management group"
158,健康促進與衛生教育學系,Department of health promotion and health education
160,設計學系產品設計組,"Design Design Group, Department of Design"
162,美術學系西畫組,Department of Fine Arts Western Painting Group
171,教育心理與輔導學系,The education department of psychology and counseling
201,物理學系,"Department of physics,"
203,統計學系,Department of Statistics
204,資訊工程學系,"Department of information engineering,"
205,化學工程學系,"Department of chemical engineering,"
206,材料科學及工程學系,Department of materials science and engineering
215,生物醫學工程學系,Department of biomedical engineering
216,工程科學系,Department of engineering science
217,資源工程學系,"Resource engineering department,"
218,建築學系,Department of Architecture
219,都市計劃學系,"Department of urban planning,"
223,醫學系(公費生),Medicine (bursar)
224,護理學系,Department of Nursing
225,護理學系(公費生),Department of Nursing (public-fee students)
227,物理治療學系,"Department of physical therapy,"
229,藥學系,Department of pharmacy
230,交通管理科學系,Traffic management department
241,生命科學系,Life sciences department
259,土木工程學系,"Department of civil engineering,"
290,奈米科學及工程學士學位學程,Nanoscale science and engineering bachelor's degree program
291,機械工程學系,"Department of mechanical engineering,"
292,工業工程與管理學系,Department of industrial engineering and management
293,土木工程學系,"Department of civil engineering,"
294,運輸與物流管理學系,Department of Transport and Logistics Management
296,法國語文學系,The French language and literature
297,中國文學系,The Chinese literature
326,財務管理學系,Department of Financial Management
327,企業管理學系,"Enterprise management department,"
328,政治經濟學系,"Department of political economy,"
329,生物科學系,Biological sciences
330,化學系,chemistry
331,海洋生物科技暨資源學系,The department of Marine biotechnology and resources
332,海洋科學系,Marine science
341,機械與機電工程學系,Department of Mechanical and Electrical Engineering
350,河海工程學系,"Department of engineering,"
364,運輸科學系B組,Transport Science Department Group B
365,航運管理學系,"Shipping department of management,"
437,數學系,Department of mathematics
438,資訊管理學系資訊管理組,"Information Management Group, Department of Information Management"
439,資訊管理學系數位內容科技與管理組,Department of information management technology and digital content management group
462,會計學系,Department of Accounting
463,金融與合作經營學系,The department of finance and cooperative
465,企業管理學系,"Enterprise management department,"
466,公共行政暨政策學系,Department of public administration and policy
467,不動產與城鄉環境學系,Department of real estate and urban and rural environment
469,法律學系司法組,Department of law the judicial group
470,法律學系財經法組,"Finance Law Group, Department of Law"
474,通訊工程學系,"Department of communication engineering,"
475,社會工作學系,"Department of social work,"
476,休閒運動管理學系,Department of Leisure Sports Management
509,景觀學系,The department of landscape
510,土木與水資源工程學系,The department of civil engineering and water
511,農藝學系,Department of Agronomy
512,動物科學系,Animal science department
516,森林暨自然資源學系,Department of forestry and natural resources
517,木質材料與設計學系,Department of Wood Materials and Design
535,應用化學系,The application of chemistry
536,應用物理學系,"Department of applied physics,"
537,應用數學系,Application of mathematics
538,資訊管理學系,"Department of information management,"
540,電機工程學系,Department of Electrical Engineering
542,土木與環境工程學系土木工程組,"Department of civil and environmental engineering, civil engineering groups"
555,族群關係與文化學系,Department of ethnic relations and culture
558,中國語文學系,Department of Chinese language and literature
587,國際文教與比較教育學系,International culture and education and department of comparative education
588,國際文教與比較教育學系(公費生),"Department of International School of Education, Education and Comparative Education (public-paid students)"
594,諮商心理與人力資源發展學系諮商心理組,"Consultative Psychology Group, Department of Psychology and Human Resources Development"
606,社會政策與社會工作學系,Department of social policy and social work
607,觀光休閒與餐旅管理學系觀光休閒組,Sightseeing leisure tourism department of industry management and leisure groups
608,觀光休閒與餐旅管理學系餐旅管理組,Leisure and sightseeing industry management department of industry management group
611,電影學系,Department of Film Science
612,多媒體動畫藝術學系,Department of Multimedia Animation Art
613,視覺傳達設計學系,Department of Visual Communication Design
615,書畫藝術學系,Department of Art of Calligraphy and Painting
641,公共與文化事務學系,The public and the department of cultural affairs
642,生命科學系,Life sciences department
661,土木工程學系,"Department of civil engineering,"
662,生物技術與動物科學系,Biotechnology and animal sciences
663,園藝學系,Department of Horticulture
664,森林暨自然資源學系,Department of forestry and natural resources
665,休閒產業與健康促進學系,Leisure industry and the department of health promotion
666,文化創意與數位行銷學系,Cultural creativity and digital Marketing Department
669,華語文學系,Department of Chinese Literature
670,財務金融學系,Department of Finance and Finance
678,電機工程學系,Department of Electrical Engineering
687,應用音樂學系音樂工程與創作組,"Application department of music, music works with group"
701,經營與管理學系,Department of business and management
733,兒童英語教育學系(公費生丙組),Department of Children's English Education (Group C for Public Expenses)
734,語文與創作學系語文師資組,"Language Teacher Group, Department of Language and Creative Studies"
735,語文與創作學系文學創作組,"Literary Creation Group, Department of Language and Creative Sciences"
736,心理與諮商學系,Department of psychology and counselors
739,教育學系,"Department of education,"
767,企業管理學系,"Enterprise management department,"
768,海洋與邊境管理學系,Ocean and border management department
773,建築學系,Department of Architecture
807,行銷與流通管理學系,Department of marketing and circulation management
808,國際貿易學系,Department of International Trade
848,統計學系(大數據與資料科學組),Department of Statistics (Big Data and Data Science Group)
862,食品科學系,Food science
864,景觀學系,The department of landscape
868,教育領導與科技發展學士學位學程,A bachelor's degree in education leadership and the development of science and technology program
888,社會學系,The department of social
889,新聞傳播學系,"Department of journalism and communication,"
905,統計資訊學系,Department of Statistics
934,社會學系,The department of social
936,財務工程與精算數學系,Financial engineering and actuarial mathematics
959,國際經營與貿易學系,The department of international business and trade
960,財經法律學系,Department of law of finance and economics
962,化學系化學組,Chemistry chemical group
963,化學系材料化學組,Chemistry materials chemistry group
965,物理學系光電與材料科學組,"Department of physics, optoelectronics and material science group"
974,資訊工程學系,"Department of information engineering,"
975,電機資訊學院學士班,Bachelor's degree in the College of Electrical Information
995,全球政治經濟學系全英語學士班(蘭陽校園),The English department of global political and economic bachelor class (the lan-yang campus)
1003,保險學系,The department of insurance
1020,資訊創新與科技學系軟體工程全英語組(蘭陽校園),"All-English Group on Software Engineering, Department of Information Innovation and Science and Technology (Lanyang Campus)"
1021,資訊創新與科技學系應用資訊全英語組(蘭陽校園),"All-English Group on Applied Information, Department of Information Innovation and Science and Technology (Lanyang Campus)"
1023,水資源及環境工程學系水資源工程組,"Water Resources Engineering Group, Department of Water Resources and Environmental Engineering"
1024,水資源及環境工程學系環境工程組,"Department of Environmental Engineering, Department of Water Resources and Environmental Engineering"
1025,電機工程學系電機資訊組,Electrical Engineering Department Motor Information Group
1026,電機工程學系電機通訊組,Electrical Engineering Department Motor Distribution Group
1027,電機工程學系電機與系統組,Electrical Engineering Department Motor and Systems Group
1064,國際企業管理學系,Department of International Business Management
1065,行政管理學系,The administrative department of
1066,國際貿易學系,Department of International Trade
1067,廣告學系,"Department of advertising,"
1068,全球商務學士學位學程,A bachelor's degree in global business program
1108,國際經營與貿易學系國際企業管理全英語學士班,"Department of International Business and Trade, Bachelor of International Enterprise Management In English"
1109,行銷學系,"Department of marketing,"
1110,澳洲墨爾本皇家理工大學商學與創新雙學士學位學程,"The royal institute of technology in Melbourne, Australia university of business and innovation double bachelor's degree programs"
1112,應用數學系,Application of mathematics
1113,統計學系,Department of Statistics
1114,資訊工程學系,"Department of information engineering,"
1131,建築專業學院學士班,Bachelor's degree in Architecture
1132,都市計畫與空間資訊學系都市計畫組,Urban Planning and Space Informatics Department Urban Planning Group
1135,運輸與物流學系,Department of Transport and Logistics
1136,英國語文學系,English language and literature
1137,英國語文學系-類繁星,Department of English Chinese Literature - Stars
1138,西班牙語文學系,The Spanish language and literature
1139,西班牙語文學系-類繁星,The Spanish language and literature - class stars
1140,日本語文學系,The Japanese language and literature
1141,日本語文學系-類繁星,Japanese Language and Literature Department - Stars
1142,寰宇外語教育學士學位學程,A bachelor's degree in foreign language education programs worldwide
1143,寰宇外語教育學士學位學程-類繁星,A bachelor's degree in foreign language education programs worldwide - class stars
1189,工業設計學系,Department of Industrial Design
1190,工商管理學系,"Department of business administration,"
1191,醫務管理學系,"The medical management department,"
1192,生物醫學系,Biological medicine
1194,資訊工程學系,"Department of information engineering,"
