,department_name,eng
5,哲學系,Department of philosophy
12,歐洲語文學系德文組,German Group of European Language and Literature Department
13,歐洲語文學系西班牙文組,"Department of European languages, Spanish group"
15,中國文學系,The Chinese literature
16,經濟學系,The department of economics
17,政治學系,The department of political
18,外交學系,The department of foreign
19,心理學系,Department of psychology
61,物理學系物理組(一般組),Physics Department Physics Group (General Group)
73,電機工程學系甲組,Motor Engineering Department Group A
82,清華學院學士班丙組(不分系招生-創新設計),Tsinghua College Bachelor's Class C Group (No. Department Admissions - Innovative Design)
86,清華學院學士班乙組(不分系招生-美術),The undergraduate program at the institute of tsinghua group b (irrespective of admissions - art)
87,戲劇學系,Department of Drama
105,工商管理學系科技管理組,"Department of business administration, management of science and technology group"
169,臺灣語文學系,Taiwan language and literature
170,國文學系,The literature
172,地理學系,"Department of geography,"
189,中國文學系,The Chinese literature
190,經濟學系,The department of economics
200,地球科學系,The earth sciences
202,數學系,Department of mathematics
213,航空太空工程學系,Engineering department of air space
214,系統及船舶機電工程學系,Department of Systems and Marine Electrical and Mechanical Engineering
220,土木工程學系,"Department of civil engineering,"
222,醫學系,School of medicine
231,大一全校不分系學士學位學程,A bachelor of arts degree in freshman students regardless of learning process
243,生物科技學士學位學程,Biological science and technology bachelor's degree programs
264,國際農企業學士學位學程,Bachelor's degree in International Agricultural Enterprise
275,生物科技學系,"Department of biotechnology,"
337,海洋環境及工程學系,The Marine environment and engineering department
338,電機工程學系,Department of Electrical Engineering
339,光電工程學系,"Photoelectric engineering department,"
340,資訊工程學系,"Department of information engineering,"
342,海洋文創設計產業學士學位學程,Bachelor's degree in Marine Creative Design Industry
359,食品科學系食品科學組,Food science at the food science group
363,運輸科學系A組,Transport Science Department Group A
443,機電工程學系,Department of Electrical and Mechanical Engineering
452,護理學系(公費生),Department of Nursing (public-fee students)
453,醫學生物技術暨檢驗學系,Medical biological technology and inspection department
454,生物醫學影像暨放射科學系,Biomedical imaging and radiological sciences
464,財政學系,Department of Finance
468,法律學系法學組,Department of law of law group
477,教育學系,"Department of education,"
502,應用數學系,Application of mathematics
513,園藝學系,Department of Horticulture
515,植物醫學系,Plant medicine
557,民族語言與傳播學系,The department of national language and communication
565,會計學系,Department of Accounting
583,電機工程學系,Department of Electrical Engineering
589,教育政策與行政學系,With the administrative department of education policy
590,歷史學系,"Department of history,"
591,外國語文學系,The DFLL
592,中國語文學系,Department of Chinese language and literature
614,美術學系,Department of Fine Arts
616,雕塑學系,The department of sculpture
617,工藝設計學系,Department of Process Design
622,中國音樂學系彈弦組,"Department of Chinese music, play group"
645,應用數學系,Application of mathematics
646,資訊管理學系,"Department of information management,"
675,材料科學工程學系,The department of materials science and engineering
676,環境與安全衛生工程學系,Department of environment and health and safety engineering
677,能源工程學系,The department of energy engineering
699,諮商與輔導學系,Department of Consulting and Counselling
700,文化與自然資源學系,Department of culture and natural resources
702,行政管理學系,The administrative department of
707,數位學習科技學系,E-learning in the department of science and technology
740,教育學系(公費生),The department of education (bursar)
742,幼兒教育學系,"Department of early childhood education,"
744,科學教育與應用學系,The department of education and application of science
783,體育學系(運動專長組),Department of Physical Education (Sports Expertise Group)
792,體育學系,"Sports department,"
793,科普傳播學系,The popular science communication department
797,文化創意產業學系,Department of Cultural and Creative Industries
