,department_name,eng
28,公共行政學系,"Department of public administration,"
29,地政學系土地資源規劃組,"Land Resource Planning Group, Department of Land Series"
30,地政學系土地管理組,The land administration department of land management group
31,地政學系土地測量與資訊組,"Land Survey and Information Group, Department of Land Sciences"
32,國際經營與貿易學系,The department of international business and trade
34,應用數學系,Application of mathematics
42,幼兒教育學系,"Department of early childhood education,"
52,中國文學系乙組(華語文教學組),Chinese Literature Department Group B (Chinese Language Teaching Group)
80,工學院學士班,The undergraduate program at the institute of technology
83,清華學院學士班丁組(不分系招生-創新領導),Tsinghua College Bachelor's Banding Group (No Department Of Admissions - Innovation Leadership)
84,清華學院學士班戊組(不分系招生-跨領域教育),The undergraduate program at the institute of tsinghua e group (irrespective of admissions - interdisciplinary education)
111,昆蟲學系,"Department of insects,"
112,生化科技學系,"Department of biotechnology,"
113,化學系,chemistry
114,地質科學系,The geological sciences
115,大氣科學系,Atmospheric sciences
116,物理學系,"Department of physics,"
117,數學系,Department of mathematics
119,資訊工程學系,"Department of information engineering,"
129,動物科學技術學系,Department of Animal Science and Technology
144,職能治療學系,Department of Functional Therapeutics
145,藥學系,Department of pharmacy
146,公共衛生學系,"Department of public health,"
147,社會工作學系,"Department of social work,"
148,教育學系,"Department of education,"
149,特殊教育學系,The department of special education
150,特殊教育學系(公費生),Special education department (bursar)
151,學習科學學士學位學程,Learning science bachelor's degree programs
152,公民教育與活動領導學系,Department of Civic Education and Activity Leadership
153,社會教育學系,"Department of social education,"
154,人類發展與家庭學系家庭生活教育組,The department of human development and family education group of family life
155,人類發展與家庭學系幼兒發展與教育組,Early childhood development and education department of human development and family groups
156,人類發展與家庭學系營養科學與教育組,The department of human development and family nutrition science and education groups
157,體育學系,"Sports department,"
173,東亞學系漢學與文化組,"Chinese Studies and Culture Group, Department of East Asian Studies"
175,圖文傳播學系,Graphic communication department
176,企業管理學系,"Enterprise management department,"
277,電子物理學系光電與奈米科學組,"Optoelectronics and Nanoscience Group, Department of Electronic Physics"
278,電子物理學系電子物理組,"Electronic Physics Group, Department of Electronic Physics"
279,應用數學系,Application of mathematics
280,資訊工程學系資電工程組,"Department of Information Engineering,S.E.O.E.A."
281,資訊工程學系資訊工程組,"Information Engineering Group, Department of Information Engineering"
282,資訊工程學系網路與多媒體工程組,"Department of information engineering, network and multimedia engineering group"
283,材料科學與工程學系,The department of materials science and engineering
284,電機工程學系(甲組),Department of Electrical Engineering (Group A)
285,電機工程學系(乙組),"Department of Electrical Engineering (Group B)tion"")"
286,電子工程學系(甲組),Department of Electronic Engineering (Group A)
287,電子工程學系(乙組),Department of Electronic Engineering (Group B)
288,光電工程學系,"Photoelectric engineering department,"
289,電機資訊學士班,Bachelor of Electrical Information
298,經濟學系,The department of economics
301,企業管理學系,"Enterprise management department,"
316,機械工程學系先進材料與精密製造組,"Advanced Materials and Precision Manufacturing Group, Department of Mechanical Engineering"
317,機械工程學系設計與分析組,"Design and Analysis Group, Department of Mechanical Engineering"
318,生醫科學與工程學系,Department of biomedical science and engineering
319,土木工程學系,"Department of civil engineering,"
320,音樂學系,The department of music
321,音樂學系創作與應用組,The department of music creation and application group
322,劇場藝術學系,Department of Theater Art
323,外國語文學系,The DFLL
324,中國文學系,The Chinese literature
325,社會學系,The department of social
345,海洋法政學士學位學程,Marine thammasat bachelor's degree programs
347,海洋生物科技學士學位學程,Marine life science and technology bachelor's degree programs
349,資訊工程學系,"Department of information engineering,"
373,政治學系,The department of political
374,心理學系,Department of psychology
375,勞工關係學系,"Department of labor relations,"
376,犯罪防治學系,"Crime prevention and control department,"
377,傳播學系,The department of communication
378,會計與資訊科技學系,Department of Accounting and Information Technology
379,財務金融學系,Department of Finance and Finance
380,企業管理學系,"Enterprise management department,"
381,法律學系法學組,Department of law of law group
382,法律學系法制組,Department of law legal system
383,財經法律學系,Department of law of finance and economics
386,地球與環境科學系,Earth and environmental sciences
416,軟體工程與管理學系,The department of software engineering and management
417,電子工程學系,"Department of electronic engineering,"
418,光電與通訊工程學系,Photoelectric and communication engineering department
419,特殊教育學系,The department of special education
420,特殊教育學系(公費生),Special education department (bursar)
421,公共事務與公民教育學系公共事務組,Public affairs and public affairs department of civic education group
422,公共事務與公民教育學系公民教育組,"Department of public affairs and civic education, citizen education group"
426,國文學系,The literature
427,輔導與諮商學系學校輔導與諮商組,"School Guidance and Reference Group, Department of Counselling and Consulting"
