,department_name,eng
20,社會學系,The department of social
21,傳播學院大一大二不分系,The sophomore of the School of Communication is not divided into departments
22,會計學系,Department of Accounting
23,財務管理學系,Department of Financial Management
24,金融學系,Department of Finance
25,財政學系,Department of Finance
26,風險管理與保險學系,Department of Risk Management and Insurance
27,企業管理學系,Department of Business Management
51,中國文學系甲組(一般組),Chinese Literature Department Group A (General Group)
59,環境與文化資源學系,Department of Environment and Cultural Resources
163,美術學系國畫組,"National Painting Group, Department of Fine Arts"
164,音樂學系,Department of Music
165,表演藝術學士學位學程,Bachelor of Arts in performing arts
166,歷史學系,Department of History
167,英語學系,English Department
168,華語文教學系應用華語文學組,Chinese Language Teaching Department Applied Chinese Literature Group
181,數學系,Department of Mathematics
191,政治學系,Department of Political Science
246,物理學系一般物理組,"General Physics Group, Department of Physics"
247,物理學系光電物理組,Department of Physics Optoelectronics Group
248,應用數學系,Department of Applied Mathematics
249,資訊管理學系,Department of Information Management
250,資訊科學與工程學系,Department of Information Science and Engineering
251,化學工程學系,Department of Chemical Engineering
252,材料科學與工程學系,Department of Materials Science and Engineering
253,環境工程學系,Department of Environmental Engineering
254,電機工程學系,Department of Electrical Engineering
255,機械工程學系,Department of Mechanical Engineering
256,生物產業機電工程學系,Department of Electrical and Mechanical Engineering in The Bio-Industry
257,食品暨應用生物科技學系,Department of Food and Applied Biotechnology
258,景觀與遊憩學士學位學程,Bachelor's degree in Landscape and Recreation
265,植物病理學系,Department of Plant Pathology
266,森林學系林學組,"Forestry Group, Department of Forestry"
269,人文社會學系,Department of Humanities and Sociology
343,海洋觀光管理學士學位學程,Bachelor's degree in Marine Tourism Management
388,數學系,Department of Mathematics
400,工業科技教育學系能源與冷凍空調組,"Department of Energy and Refrigeration Air Conditioning, Department of Industrial Science and Technology Education"
401,體育學系,Department of Physical Education
402,視覺設計學系,Department of Visual Design
403,工業設計學系,Department of Industrial Design
404,美術學系,Department of Fine Arts
405,美術學系(公費生),Department of Fine Arts (public-fee student)
406,音樂學系,Department of Music
408,國文學系,Department of Chinese Literature
410,事業經營學系,Department of Business And Business
411,生物科技系,Department of Biotechnology
412,化學系,Department of Chemistry
413,物理學系,Department of Physics
414,數學系數學組,Mathematics Department Mathematics Group
415,數學系應用數學組,"Applied Mathematics Group, Department of Mathematics"
593,經濟學系,Department of Economics
637,音樂學系〈一般生〉,"Department of Music, General Student"
638,音樂學系〈原住民生〉,"Department of Musicology, Aboriginal Students"
657,資訊工程學系,Department of Information Engineering
658,機械與機電工程學系,Department of Mechanical and Electrical Engineering
704,生態暨環境資源學系,Department of Ecology and Environmental Resources
705,應用數學系,Department of Applied Mathematics
706,資訊工程學系,Department of Information Engineering
708,材料科學系,Department of Materials Sciences
709,綠色能源科技學系,Department of Green Energy Science and Technology
730,兒童英語教育學系,Department of Children's English Education
741,特殊教育學系,Department of Special Education
814,資訊管理學系,Department of Information Management
815,資訊科學系,Department of Information Science
816,電腦與智慧型機器人學士學位學程,Bachelor's degree in Computer and Intelligent Robotics
817,電腦與通訊學系,Department of Computer science and Communications
818,休閒事業經營學系,Department of Leisure Business Management
819,工業設計學系,Department of Industrial Design
820,美術學系,Department of Fine Arts
823,哲學系,Department of Philosophy
827,經濟學系一般經濟組,"General Economics Group, Department of Economics"
828,經濟學系產業經濟組,"Industrial Economics Group, Department of Economics"
829,政治學系政治理論組,"Political Theory Group, Department of Political Science"
830,政治學系國際關係組,Department of Political Science International Relations Group
831,社會學系,Department of Sociology
832,會計學系,Department of Accounting
833,財務金融學系,Department of Finance and Finance
835,企業管理學系(永續與服務創新組),Department of Business Management (Sustainability and Service Innovation Group)
