,department_name,eng
159,科技應用與人力資源發展學系,Department of Science and Technology Applications and Human Resources Development
346,生命科學暨生物科技學系,Department of Life Sciences and Biotechnology
440,資訊工程學系,Department of Information Engineering
473,資訊工程學系,Department of Information Engineering
500,應用化學系,Department of Applied Chemistry
534,生命科學系,Department of Life Sciences
599,公共行政與政策學系,Department of Public Administration and Policy
609,新媒體藝術學系,Department of New Media Art
627,舞蹈學系,Department of Dance
628,古蹟藝術修護學系,Department of Antiquities Art And Care
667,工業設計學系,Department of Industrial Design
668,臺灣語文與傳播學系,Department of Language and Communication in Taiwan
729,音樂學系(公費生丙組),Department of Music (Group C for Public Expense)
747,體育學系運動專長組,"Sports Expertise Group, Department of Physical Education"
748,文化創意產業設計與營運學系,Department of Design and Operations of Cultural and Creative Industries
749,美術學系,Department of Fine Arts
750,音樂學系,Department of Music
751,英語學系,English Department
752,臺灣語文學系,Taiwan Department of Language and Literature
839,國際經營與貿易學系,Department of International Business and Trade
841,生命科學系生物醫學組,"Biomedical Group, Department of Life Sciences"
964,物理學系物理組,Physics Department Physics Group
1007,管理科學學系(行銷與流通管理組),Department of Management Science (Marketing and Circulation Management Group)
1008,企業管理學系,Department of Business Management
1022,化學工程與材料工程學系,Department of Chemical Engineering and Materials Engineering
1040,中國戲劇學系,Department of Chinese Drama
1046,英國語文學系,Department of English Chinese Literature
1058,大眾傳播學系,Department of Mass Communication
1059,資訊傳播學系,Department of Information Communication
1060,新聞學系,Department of Journalism
1061,會計學系,Department of Accounting
1062,財務金融學系金融行銷組,"Financial Marketing Group, Department of Finance and Finance"
1063,財務金融學系財務金融組,Finance and Finance Department
1117,環境工程與科學學系,Department of Environmental Engineering and Science
1128,航太與系統工程學系,Department of Aerospace and Systems Engineering
1158,企業管理學系-類繁星,Department of Business Management - Stars
1159,國際企業學系,Department of International Business Studies
1160,國際企業學系-類繁星,Department of International Business Sciences - Stars
1161,寰宇管理學士學位學程,Bachelor's degree in Management
1162,寰宇管理學士學位學程-類繁星,Bachelor's Degree in Management - Stars
1163,法律學系,Faculty of Law
1164,法律學系-類繁星,Faculty of Law - Stars
1165,食品營養學系營養與保健組,Department of Food Nutrition Nutrition and Health Care Group
1166,食品營養學系營養與保健組-類繁星,Department of Food Nutrition Nutrition and Health Group - Quasar
1167,食品營養學系食品與生物技術組,"Food and Biotechnology Group, Department of Food Nutrition"
1170,生態人文學系-類繁星,Department of Eco-Humanities - Stars
1171,應用化學系,Department of Applied Chemistry
1193,資訊管理學系,Department of Information Management
1217,管理學院學士班(主修：國際企業),Bachelor's degree in Management (Major: International Enterprise)
1218,管理學院學士班(主修：會計),Bachelor's degree in School of Management (Major: Accounting)
1219,管理學院學士班(英語專班),Bachelor's degree in Management (English)
1220,資訊管理學系,Department of Information Management
1221,資訊工程學系,Department of Information Engineering
1259,機械工程學系智慧自動化組,"Intelligent Automation Group, Department of Mechanical Engineering"
1260,工業管理學系,Department of Industrial Management
