,department_name,eng
0,教育學系,"Department of education,"
1,教育學系(公費生),The department of education (bursar)
2,教育學系(原住民公費生),The department of education (indigenous bursar)
3,歷史學系,"Department of history,"
4,民族學系,The department of national
6,英國語文學系,English language and literature
7,日本語文學系,The Japanese language and literature
70,材料科學工程學系,The department of materials science and engineering
71,工程與系統科學系甲組,Engineering and system science students
72,工程與系統科學系乙組,Engineering and system science group b
74,電機工程學系乙組,Electrical Engineering Department Group B
85,清華學院學士班甲組(不分系招生-音樂),"The undergraduate program at the institute of tsinghua students (both admissions - music),"
89,人類學系,Department of Anthropology
91,外國語文學系,The DFLL
92,日本語文學系,The Japanese language and literature
93,中國文學系,The Chinese literature
94,經濟學系,The department of economics
96,政治學系國際關係組,Department of Political Science International Relations Group
97,政治學系公共行政組,Political department of the public administration
98,心理學系,Department of psychology
136,獸醫學系,"Department of veterinary medicine,"
137,牙醫學系,Department of the dentist
138,醫學系,School of medicine
139,醫學系(公費生),Medicine (bursar)
177,生命科學系,Life sciences department
186,歷史學系,"Department of history,"
187,外國語文學系,The DFLL
188,台灣文學系,Taiwan literature
192,心理學系,Department of psychology
193,會計學系,Department of Accounting
194,企業管理學系,"Enterprise management department,"
209,能源國際學士學位學程,Energy international baccalaureate programs
210,電機工程學系,Department of Electrical Engineering
211,光電科學與工程學系,Photoelectric science and engineering department
221,測量及空間資訊學系,Department of Measurement and Space Informatics
232,歷史學系,"Department of history,"
233,外國語文學系,The DFLL
234,中國文學系,The Chinese literature
235,應用經濟學系,Application of the department of economics
236,會計學系,Department of Accounting
237,財務金融學系,Department of Finance and Finance
238,企業管理學系,"Enterprise management department,"
239,行銷學系,"Department of marketing,"
240,法律學系,Department of law
299,客家語文暨社會科學學系,The hakka language and department of social science
300,財務金融學系,Department of Finance and Finance
303,化學學系,"Department of chemistry,"
304,地球科學學系,"Department of earth sciences,"
305,大氣科學學系大氣組,The department of atmospheric sciences group atmosphere
306,大氣科學學系太空組,"Department of atmospheric science, space group"
307,物理學系,"Department of physics,"
308,數學系,Department of mathematics
309,資訊管理學系,"Department of information management,"
348,海洋環境資訊系,Marine Environment Information Department
352,光電與材料科技學士學位學程,Photoelectric with a bachelor's degree in materials science and technology program
353,通訊與導航工程學系,The department of communication and navigation engineering
354,機械與機電工程學系,Department of Mechanical and Electrical Engineering
355,系統工程暨造船學系,Department of systems engineering and shipbuilding
356,輪機工程學系能源應用組,Department of Wheel Engineering Energy Applications Group
397,教育學系,"Department of education,"
398,特殊教育學系,The department of special education
442,電子工程學系,"Department of electronic engineering,"
444,生命科學系暨基因體科學研究所,Life sciences and genomic science institute
450,醫學系(公費生),Medicine (bursar)
451,護理學系,Department of Nursing
456,藥學系,Department of pharmacy
457,歷史學系,"Department of history,"
458,應用外語學系,"Department of applied foreign languages,"
459,中國文學系,The Chinese literature
460,經濟學系,The department of economics
461,社會學系,The department of social
501,電子物理學系,"The electronic department of physics,"
522,創意設計與建築學系創意設計組,"Creative Design Group, Department of Creative Design and Architecture"
523,西洋語文學系,Western language and literature
543,土木與環境工程學系環境工程組,Department of Civil and Environmental Engineering Environmental Engineering Group
544,運動健康與休閒學系,Department of Sports Health and Leisure
545,教育與潛能開發學系,Department of education and the potential development
570,管理學院管理科學與財金國際學士學位學程,"School of management, management science and financial international baccalaureate programs"
571,法律學士學位學程,Law bachelor's degree programs
572,生命科學系,Life sciences department
573,自然資源與環境學系,Department of Natural Resources and Environment
574,化學系,chemistry
575,物理學系物理組,"Department of physics, physics group"
576,物理學系奈米與光電科學組,"Department of physics, nanotechnology and photoelectric science group"
577,應用數學系數學科學組,The applied math mathematics group
578,應用數學系統計科學組,Applied Mathematics System System Science Group
579,資訊工程學系學士班資工組,Bachelor's degree in Information Engineering
623,中國音樂學系撥弦組,The department of Chinese music group
624,中國音樂學系擦弦組,Department of the Chinese music brush set
625,中國音樂學系擊樂組,"Department of Chinese music, music group"
629,廣播電視學系,Department of Radio and Television
630,圖文傳播藝術學系,Graphic art department
631,教育學系,"Department of education,"
632,特殊教育學系,The department of special education
633,數位媒體與文教產業學系,Department of digital media and cultural industries
634,幼兒教育學系,"Department of early childhood education,"
635,體育學系,"Sports department,"
636,美術產業學系,Department of Fine Arts Industry
639,英美語文學系,British and American language and literature
640,華語文學系,Department of Chinese Literature
679,電子工程學系,"Department of electronic engineering,"
680,光電工程學系,"Photoelectric engineering department,"
686,應用音樂學系藝術管理組,Application of music department of art management group
692,體育學系,"Sports department,"
693,視覺藝術與設計學系,Department of Visual Arts and Design
694,音樂學系,The department of music
